Essential Question,Domain,Type,Sector,Indicator,Metric,Data Element,Ed-Fi Availability,Ed-Fi Data Element Path,CEDS Availability,CEDS Data Element Path V11,CEDS Data Element Path V13,Other Data Sources,Data Capture Method,Data Status,Notes,Classification,CEDS Queries V11,CEDS Queries V13,Column 2,Column 21,Column 4,Column 5,Column 6,Column 7,Column 8
12. Do students have access to and complete rigorous and accelerated college preparatory coursework?,Academic Progress & Completion,E-W System Conditions,K12,Access to early college coursework,"Number of AP, IB, and dual enrollment courses offered, overall and by subject",IB course designation,Found,CourseTranscript.Course.CourseLevelCharacteristicDescriptor,Found,FactK12StudentCourseSections.K12CourseStatusId,FactK12StudentCourseSections.K12CourseStatusId,,,,,,"SELECT  
    'Number of IB courses offered, overall and by subject' AS DataElementName,
    'RecordCount' AS CharacteristicType,  
    COUNT(f.K12CourseId) AS Value,
    NULL AS Remarks
FROM rds.FactK12StudentCourseSections f  
JOIN RDS.DimK12Schools sc on f.K12SchoolId = sc.DimK12SchoolId 
JOIN RDS.DimGradeLevels g ON f.EntryGradeLevelId = g.DimGradeLevelId
JOIN RDS.DimScedCodes s ON f.ScedCodeId = s.DimScedCodeId
JOIN RDS.DimK12CourseStatuses cs ON cs.DimK12CourseStatusId = f.K12CourseStatusId
where  f.K12CourseId is not NULL
and cs.CourseLevelCharacteristicCode in ('00575')","SELECT  
    'Number of IB courses offered, overall and by subject' AS DataElementName,
    'RecordCount' AS CharacteristicType,  
    COUNT(f.K12CourseId) AS Value,
    NULL AS Remarks
FROM rds.FactK12StudentCourseSections f  
JOIN RDS.DimK12Schools sc on f.K12SchoolId = sc.DimK12SchoolId 
JOIN RDS.DimGradeLevels g ON f.EntryGradeLevelId = g.DimGradeLevelId
JOIN RDS.DimScedCodes s ON f.ScedCodeId = s.DimScedCodeId
JOIN RDS.DimK12CourseStatuses cs ON cs.DimK12CourseStatusId = f.K12CourseStatusId
where  f.K12CourseId is not NULL
and cs.CourseLevelCharacteristicCode in ('00575')",,,,,,,
12. Do students have access to and complete rigorous and accelerated college preparatory coursework?,Academic Progress & Completion,E-W System Conditions,K12,Access to early college coursework,"Number of AP, IB, and dual enrollment courses offered, overall and by subject",Dual credit course designation,Found,CourseTranscript.Course.CourseLevelCharacteristicDescriptor,Found,FactK12StudentCourseSections.K12CourseStatusId,FactK12StudentCourseSections.K12CourseStatusId,,,,,,"SELECT  
    'Number of Dual enrollment courses offered, overall and by subject' AS DataElementName,
    'RecordCount' AS CharacteristicType,  
    COUNT(f.K12CourseId) AS Value,
    NULL AS Remarks
FROM rds.FactK12StudentCourseSections f  
JOIN RDS.DimK12Schools sc on f.K12SchoolId = sc.DimK12SchoolId 
JOIN RDS.DimGradeLevels g ON f.EntryGradeLevelId = g.DimGradeLevelId
JOIN RDS.DimScedCodes s ON f.ScedCodeId = s.DimScedCodeId
JOIN RDS.DimK12CourseStatuses cs ON cs.DimK12CourseStatusId = f.K12CourseStatusId
where  f.K12CourseId is not NULL
and cs.CourseLevelCharacteristicCode in ('73048')","SELECT  
    'Number of Dual enrollment courses offered, overall and by subject' AS DataElementName,
    'RecordCount' AS CharacteristicType,  
    COUNT(f.K12CourseId) AS Value,
    NULL AS Remarks
FROM rds.FactK12StudentCourseSections f  
JOIN RDS.DimK12Schools sc on f.K12SchoolId = sc.DimK12SchoolId 
JOIN RDS.DimGradeLevels g ON f.EntryGradeLevelId = g.DimGradeLevelId
JOIN RDS.DimScedCodes s ON f.ScedCodeId = s.DimScedCodeId
JOIN RDS.DimK12CourseStatuses cs ON cs.DimK12CourseStatusId = f.K12CourseStatusId
where  f.K12CourseId is not NULL
and cs.CourseLevelCharacteristicCode in ('73048')",,,,,,,
12. Do students have access to and complete rigorous and accelerated college preparatory coursework?,Academic Progress & Completion,E-W System Conditions,K12,Access to early college coursework,"Percentage of students in an early college course who take the relevant end-of-course test needed to earn credit (for example, AP or IB test), overall and by subject",AP enrollment,Found,"CourseTranscript.Course.AcademicSubject, CourseTranscript.CourseAttempResultDescriptor, CourseTranscript.Course.CourseLevelCharacteristicDescriptor",Found,FactK12StudentCourseSections.K12StudentId,FactK12StudentCourseSections.K12StudentId,,,,,,"WITH total_students AS (
    SELECT COALESCE(COUNT(1),0) AS total, f.SchoolYearId
    FROM rds.FactK12StudentCourseSections f
    JOIN RDS.DimGradeLevels g ON f.EntryGradeLevelId = g.DimGradeLevelId
    WHERE g.GradeLevelCode IN ('09', '10', '11', '12')
    GROUP BY f.SchoolYearId
),
ap_students AS (
    SELECT f.SchoolYearId, COUNT(DISTINCT f.K12StudentId) AS ap_count
    FROM rds.FactK12StudentCourseSections f
    JOIN RDS.DimGradeLevels g ON f.EntryGradeLevelId = g.DimGradeLevelId
    JOIN RDS.DimK12CourseStatuses cs ON cs.DimK12CourseStatusId = f.K12CourseStatusId
    JOIN rds.FactK12StudentAssessments ase ON f.K12StudentId = ase.K12StudentId 
        AND f.SchoolYearId = ase.SchoolYearId
    JOIN RDS.DimAssessments da ON da.DimAssessmentId = ase.AssessmentId
    WHERE g.GradeLevelCode IN ('09', '10', '11', '12')
      AND cs.CourseLevelCharacteristicCode = '00574'
      AND da.AssessmentTitle = 'Advanced Placement test'
      AND ase.AssessmentResultScoreValueRawScore IS NOT NULL
      AND da.AssessmentAcademicSubjectCode IN ('13371','13372','73088','73089','13374','00554','00560','13373','01166','00562','73086','73087','01287')
    GROUP BY f.SchoolYearId
),
anchor AS (
    SELECT 1 AS dummy
)
SELECT 
    'Percentage of students enrolled in AP course' AS DataElementName,
    'Percentage' AS CharacteristicType,
    COALESCE(ap.ap_count * 100.0 / t.total, 0) AS Value,
    NULL AS Remarks
FROM anchor a
LEFT JOIN total_students t ON 1 = 1
LEFT JOIN ap_students ap ON t.SchoolYearId = ap.SchoolYearId;
","WITH total_students AS (
    SELECT COALESCE(COUNT(1),0) AS total, f.SchoolYearId
    FROM rds.FactK12StudentCourseSections f
    JOIN RDS.DimGradeLevels g ON f.EntryGradeLevelId = g.DimGradeLevelId
    WHERE g.GradeLevelCode IN ('09', '10', '11', '12')
    GROUP BY f.SchoolYearId
),
ap_students AS (
    SELECT f.SchoolYearId, COUNT(DISTINCT f.K12StudentId) AS ap_count
    FROM rds.FactK12StudentCourseSections f
    JOIN RDS.DimGradeLevels g ON f.EntryGradeLevelId = g.DimGradeLevelId
    JOIN RDS.DimK12CourseStatuses cs ON cs.DimK12CourseStatusId = f.K12CourseStatusId
    JOIN rds.FactK12StudentAssessments ase ON f.K12StudentId = ase.K12StudentId 
        AND f.SchoolYearId = ase.SchoolYearId
    JOIN RDS.DimAssessments da ON da.DimAssessmentId = ase.AssessmentId
    WHERE g.GradeLevelCode IN ('09', '10', '11', '12')
      AND cs.CourseLevelCharacteristicCode = '00574'
      AND da.AssessmentTitle = 'Advanced Placement test'
      AND ase.AssessmentResultScoreValueRawScore IS NOT NULL
      AND da.AssessmentAcademicSubjectCode IN ('13371','13372','73088','73089','13374','00554','00560','13373','01166','00562','73086','73087','01287')
    GROUP BY f.SchoolYearId
),
anchor AS (
    SELECT 1 AS dummy
)
SELECT 
    'Percentage of students enrolled in AP course' AS DataElementName,
    'Percentage' AS CharacteristicType,
    COALESCE(ap.ap_count * 100.0 / t.total, 0) AS Value,
    NULL AS Remarks
FROM anchor a
LEFT JOIN total_students t ON 1 = 1
LEFT JOIN ap_students ap ON t.SchoolYearId = ap.SchoolYearId;
",,,,,,,
12. Do students have access to and complete rigorous and accelerated college preparatory coursework?,Academic Progress & Completion,E-W System Conditions,K12,Access to early college coursework,"Percentage of students in an early college course who take the relevant end-of-course test needed to earn credit (for example, AP or IB test), overall and by subject",IB enrollment,Found,"CourseTranscript.Course.AcademicSubject, CourseTranscript.CourseAttempResultDescriptor, CourseTranscript.Course.CourseLevelCharacteristicDescriptor",Found,FactK12StudentCourseSections.K12StudentId,FactK12StudentCourseSections.K12StudentId,,,,,,"WITH total_students AS (
    SELECT COALESCE(COUNT(1),0) AS total, f.SchoolYearId
    FROM rds.FactK12StudentCourseSections f
    JOIN RDS.DimGradeLevels g ON f.EntryGradeLevelId = g.DimGradeLevelId
    WHERE g.GradeLevelCode IN ('09', '10', '11', '12')
    GROUP BY f.SchoolYearId
),
IB_students AS (
    SELECT f.SchoolYearId, COUNT(DISTINCT f.K12StudentId) AS ib_count
    FROM rds.FactK12StudentCourseSections f
    JOIN RDS.DimGradeLevels g ON f.EntryGradeLevelId = g.DimGradeLevelId
    JOIN RDS.DimK12CourseStatuses cs ON cs.DimK12CourseStatusId = f.K12CourseStatusId
    JOIN rds.FactK12StudentAssessments ase ON f.K12StudentId = ase.K12StudentId 
        AND f.SchoolYearId = ase.SchoolYearId
    JOIN RDS.DimAssessments da ON da.DimAssessmentId = ase.AssessmentId
    WHERE g.GradeLevelCode IN ('09', '10', '11', '12')
      AND cs.CourseLevelCharacteristicCode = '00575'
      AND da.AssessmentTitle = 'International Baccalaureate'
      AND ase.AssessmentResultScoreValueRawScore IS NOT NULL
      AND da.AssessmentAcademicSubjectCode IN ('13371','13372','73088','73089','13374','00554','00560','13373','01166','00562','73086','73087','01287')
    GROUP BY f.SchoolYearId
),
anchor AS (
    SELECT 1 AS dummy
)
SELECT 
    'Percentage of students enrolled in IB course' AS DataElementName,
    'Percentage' AS CharacteristicType,
    COALESCE(ib.ib_count * 100.0 / t.total, 0) AS Value,
    NULL AS Remarks
FROM anchor a
LEFT JOIN total_students t ON 1 = 1
LEFT JOIN IB_students ib ON t.SchoolYearId = ib.SchoolYearId;","WITH total_students AS (
    SELECT COALESCE(COUNT(1),0) AS total, f.SchoolYearId
    FROM rds.FactK12StudentCourseSections f
    JOIN RDS.DimGradeLevels g ON f.EntryGradeLevelId = g.DimGradeLevelId
    WHERE g.GradeLevelCode IN ('09', '10', '11', '12')
    GROUP BY f.SchoolYearId
),
IB_students AS (
    SELECT f.SchoolYearId, COUNT(DISTINCT f.K12StudentId) AS ib_count
    FROM rds.FactK12StudentCourseSections f
    JOIN RDS.DimGradeLevels g ON f.EntryGradeLevelId = g.DimGradeLevelId
    JOIN RDS.DimK12CourseStatuses cs ON cs.DimK12CourseStatusId = f.K12CourseStatusId
    JOIN rds.FactK12StudentAssessments ase ON f.K12StudentId = ase.K12StudentId 
        AND f.SchoolYearId = ase.SchoolYearId
    JOIN RDS.DimAssessments da ON da.DimAssessmentId = ase.AssessmentId
    WHERE g.GradeLevelCode IN ('09', '10', '11', '12')
      AND cs.CourseLevelCharacteristicCode = '00575'
      AND da.AssessmentTitle = 'International Baccalaureate'
      AND ase.AssessmentResultScoreValueRawScore IS NOT NULL
      AND da.AssessmentAcademicSubjectCode IN ('13371','13372','73088','73089','13374','00554','00560','13373','01166','00562','73086','73087','01287')
    GROUP BY f.SchoolYearId
),
anchor AS (
    SELECT 1 AS dummy
)
SELECT 
    'Percentage of students enrolled in IB course' AS DataElementName,
    'Percentage' AS CharacteristicType,
    COALESCE(ib.ib_count * 100.0 / t.total, 0) AS Value,
    NULL AS Remarks
FROM anchor a
LEFT JOIN total_students t ON 1 = 1
LEFT JOIN IB_students ib ON t.SchoolYearId = ib.SchoolYearId;",,,,,,,
12. Do students have access to and complete rigorous and accelerated college preparatory coursework?,Academic Progress & Completion,E-W System Conditions,K12,Access to early college coursework,"Percentage of students in an early college course who take the relevant end-of-course test needed to earn credit (for example, AP or IB test), overall and by subject",Dual credit enrollment,Found,"CourseTranscript.Course.AcademicSubject, CourseTranscript.CourseAttempResultDescriptor, CourseTranscript.Course.CourseLevelCharacteristicDescriptor",Found,FactK12StudentCourseSections.K12StudentId,FactK12StudentCourseSections.K12StudentId,,,,,,"

WITH total_students AS (
    SELECT COALESCE(COUNT(1),0) AS total, f.SchoolYearId
    FROM rds.FactK12StudentCourseSections f
    JOIN RDS.DimGradeLevels g ON f.EntryGradeLevelId = g.DimGradeLevelId
    WHERE g.GradeLevelCode IN ('09', '10', '11', '12')
    GROUP BY f.SchoolYearId
),
DE_students AS (
    SELECT f.SchoolYearId, COUNT(DISTINCT f.K12StudentId) AS de_count
    FROM rds.FactK12StudentCourseSections f
    JOIN RDS.DimGradeLevels g ON f.EntryGradeLevelId = g.DimGradeLevelId
    JOIN RDS.DimK12CourseStatuses cs ON cs.DimK12CourseStatusId = f.K12CourseStatusId
    JOIN rds.FactK12StudentAssessments ase ON f.K12StudentId = ase.K12StudentId 
        AND f.SchoolYearId = ase.SchoolYearId
    JOIN RDS.DimAssessments da ON da.DimAssessmentId = ase.AssessmentId
    WHERE g.GradeLevelCode IN ('09', '10', '11', '12')
      AND cs.CourseLevelCharacteristicCode = '73048'
      AND da.AssessmentTitle = 'Dual Enrollment'
      AND ase.AssessmentResultScoreValueRawScore IS NOT NULL
      AND da.AssessmentAcademicSubjectCode IN ('13371','13372','73088','73089','13374','00554','00560','13373','01166','00562','73086','73087','01287')
    GROUP BY f.SchoolYearId
),
anchor AS (
    SELECT 1 AS dummy
)
SELECT 
    'Percentage of students enrolled in Dual Enrollment course' AS DataElementName,
    'Percentage' AS CharacteristicType,
    COALESCE(de.de_count * 100.0 / t.total, 0) AS Value,
    NULL AS Remarks
FROM anchor a
LEFT JOIN total_students t ON 1 = 1
LEFT JOIN DE_students de ON t.SchoolYearId = de.SchoolYearId;","

WITH total_students AS (
    SELECT COALESCE(COUNT(1),0) AS total, f.SchoolYearId
    FROM rds.FactK12StudentCourseSections f
    JOIN RDS.DimGradeLevels g ON f.EntryGradeLevelId = g.DimGradeLevelId
    WHERE g.GradeLevelCode IN ('09', '10', '11', '12')
    GROUP BY f.SchoolYearId
),
DE_students AS (
    SELECT f.SchoolYearId, COUNT(DISTINCT f.K12StudentId) AS de_count
    FROM rds.FactK12StudentCourseSections f
    JOIN RDS.DimGradeLevels g ON f.EntryGradeLevelId = g.DimGradeLevelId
    JOIN RDS.DimK12CourseStatuses cs ON cs.DimK12CourseStatusId = f.K12CourseStatusId
    JOIN rds.FactK12StudentAssessments ase ON f.K12StudentId = ase.K12StudentId 
        AND f.SchoolYearId = ase.SchoolYearId
    JOIN RDS.DimAssessments da ON da.DimAssessmentId = ase.AssessmentId
    WHERE g.GradeLevelCode IN ('09', '10', '11', '12')
      AND cs.CourseLevelCharacteristicCode = '73048'
      AND da.AssessmentTitle = 'Dual Enrollment'
      AND ase.AssessmentResultScoreValueRawScore IS NOT NULL
      AND da.AssessmentAcademicSubjectCode IN ('13371','13372','73088','73089','13374','00554','00560','13373','01166','00562','73086','73087','01287')
    GROUP BY f.SchoolYearId
),
anchor AS (
    SELECT 1 AS dummy
)
SELECT 
    'Percentage of students enrolled in Dual Enrollment course' AS DataElementName,
    'Percentage' AS CharacteristicType,
    COALESCE(de.de_count * 100.0 / t.total, 0) AS Value,
    NULL AS Remarks
FROM anchor a
LEFT JOIN total_students t ON 1 = 1
LEFT JOIN DE_students de ON t.SchoolYearId = de.SchoolYearId;",,,,,,,
12. Do students have access to and complete rigorous and accelerated college preparatory coursework?,Academic Progress & Completion,E-W System Conditions,K12,Access to early college coursework,"Percentage of students in an early college course who take the relevant end-of-course test needed to earn credit (for example, AP or IB test), overall and by subject",AP test completion,Found,"CourseTranscript.Course.AcademicSubject, CourseTranscript.CourseAttempResultDescriptor, CourseTranscript.Course.CourseLevelCharacteristicDescriptor",,,,,,,,,?,?,,,,,,,
12. Do students have access to and complete rigorous and accelerated college preparatory coursework?,Academic Progress & Completion,E-W System Conditions,K12,Access to early college coursework,"Percentage of students in an early college course who take the relevant end-of-course test needed to earn credit (for example, AP or IB test), overall and by subject",IB test completion,Found,"CourseTranscript.Course.AcademicSubject, CourseTranscript.CourseAttempResultDescriptor, CourseTranscript.Course.CourseLevelCharacteristicDescriptor",,,,,,,,,?,?,,,,,,,
12. Do students have access to and complete rigorous and accelerated college preparatory coursework?,Academic Progress & Completion,E-W System Conditions,K12,Access to early college coursework,"Percentage of students in an early college course who take the relevant end-of-course test needed to earn credit (for example, AP or IB test), overall and by subject",Dual credit test completion,Found,"CourseTranscript.Course.AcademicSubject, CourseTranscript.CourseAttempResultDescriptor, CourseTranscript.Course.CourseLevelCharacteristicDescriptor",,,,,,,,,?,?,,,,,,,
12. Do students have access to and complete rigorous and accelerated college preparatory coursework?,Academic Progress & Completion,E-W System Conditions,PS,Access to early college coursework,"Number of AP, IB, and dual enrollment courses offered, overall and by subject",Course ID or course title,Found,"Course.CourseCode, Course.CourseTitle",Not Found,N/A,N/A,,,,,,CEDS DWH does not have Fact tables for PS Courses,CEDS DWH does not have Fact tables for PS Courses,,,,,,,
12. Do students have access to and complete rigorous and accelerated college preparatory coursework?,Academic Progress & Completion,E-W System Conditions,PS,Access to early college coursework,"Number of AP, IB, and dual enrollment courses offered, overall and by subject",AP course designation,Found,CourseTranscript.Course.CourseLevelCharacteristicDescriptor,Not Found,N/A,N/A,,,,,,CEDS DWH does not have Fact tables for PS Courses,CEDS DWH does not have Fact tables for PS Courses,,,,,,,
12. Do students have access to and complete rigorous and accelerated college preparatory coursework?,Academic Progress & Completion,E-W System Conditions,PS,Access to early college coursework,"Number of AP, IB, and dual enrollment courses offered, overall and by subject",IB course designation,Found,CourseTranscript.Course.CourseLevelCharacteristicDescriptor,Not Found,N/A,N/A,,,,,,CEDS DWH does not have Fact tables for PS Courses,CEDS DWH does not have Fact tables for PS Courses,,,,,,,
12. Do students have access to and complete rigorous and accelerated college preparatory coursework?,Academic Progress & Completion,E-W System Conditions,PS,Access to early college coursework,"Number of AP, IB, and dual enrollment courses offered, overall and by subject",Dual credit course designation,Found,CourseTranscript.Course.CourseLevelCharacteristicDescriptor,Not Found,N/A,N/A,,,,,,CEDS DWH does not have Fact tables for PS Courses,CEDS DWH does not have Fact tables for PS Courses,,,,,,,
12. Do students have access to and complete rigorous and accelerated college preparatory coursework?,Academic Progress & Completion,E-W System Conditions,PS,Access to early college coursework,"Percentage of students in an early college course who take the relevant end-of-course test needed to earn credit (for example, AP or IB test), overall and by subject",AP test completion,Found,"CourseTranscript.Course.AcademicSubject, CourseTranscript.CourseAttempResultDescriptor, CourseTranscript.Course.CourseLevelCharacteristicDescriptor",Not Found,N/A,N/A,,,,,,CEDS DWH does not have Fact tables for PS Courses,CEDS DWH does not have Fact tables for PS Courses,,,,,,,
12. Do students have access to and complete rigorous and accelerated college preparatory coursework?,Academic Progress & Completion,E-W System Conditions,PS,Access to early college coursework,"Percentage of students in an early college course who take the relevant end-of-course test needed to earn credit (for example, AP or IB test), overall and by subject",IB test completion,Found,"CourseTranscript.Course.AcademicSubject, CourseTranscript.CourseAttempResultDescriptor, CourseTranscript.Course.CourseLevelCharacteristicDescriptor",Not Found,N/A,N/A,,,,,,CEDS DWH does not have Fact tables for PS Courses,CEDS DWH does not have Fact tables for PS Courses,,,,,,,
12. Do students have access to and complete rigorous and accelerated college preparatory coursework?,Academic Progress & Completion,E-W System Conditions,PS,Access to early college coursework,"Percentage of students in an early college course who take the relevant end-of-course test needed to earn credit (for example, AP or IB test), overall and by subject",Dual credit test completion,Found,"CourseTranscript.Course.AcademicSubject, CourseTranscript.CourseAttempResultDescriptor, CourseTranscript.Course.CourseLevelCharacteristicDescriptor",Not Found,N/A,N/A,,,,,,CEDS DWH does not have Fact tables for PS Courses,CEDS DWH does not have Fact tables for PS Courses,,,,,,,
12. Do students have access to and complete rigorous and accelerated college preparatory coursework?,Academic Progress & Completion,E-W System Conditions,PS,Access to early college coursework,"Percentage of students in an early college course who take the relevant end-of-course test needed to earn credit (for example, AP or IB test), overall and by subject",AP enrollment,Found,"CourseTranscript.Course.AcademicSubject, CourseTranscript.CourseAttempResultDescriptor, CourseTranscript.Course.CourseLevelCharacteristicDescriptor",Not Found,N/A,N/A,,,,,,CEDS DWH does not have Fact tables for PS Courses,CEDS DWH does not have Fact tables for PS Courses,,,,,,,
12. Do students have access to and complete rigorous and accelerated college preparatory coursework?,Academic Progress & Completion,E-W System Conditions,PS,Access to early college coursework,"Percentage of students in an early college course who take the relevant end-of-course test needed to earn credit (for example, AP or IB test), overall and by subject",IB enrollment,Found,"CourseTranscript.Course.AcademicSubject, CourseTranscript.CourseAttempResultDescriptor, CourseTranscript.Course.CourseLevelCharacteristicDescriptor",Not Found,N/A,N/A,,,,,,CEDS DWH does not have Fact tables for PS Courses,CEDS DWH does not have Fact tables for PS Courses,,,,,,,
12. Do students have access to and complete rigorous and accelerated college preparatory coursework?,Academic Progress & Completion,E-W System Conditions,PS,Access to early college coursework,"Percentage of students in an early college course who take the relevant end-of-course test needed to earn credit (for example, AP or IB test), overall and by subject",Dual credit enrollment,Found,"CourseTranscript.Course.AcademicSubject, CourseTranscript.CourseAttempResultDescriptor, CourseTranscript.Course.CourseLevelCharacteristicDescriptor",Not Found,N/A,N/A,,,,,,CEDS DWH does not have Fact tables for PS Courses,CEDS DWH does not have Fact tables for PS Courses,,,,,,,
12. Do students have access to and complete rigorous and accelerated college preparatory coursework?,Academic Progress & Completion,E-W System Conditions,K12,Equitable placement in rigorous coursework,"Differences in the participation rates for students from key demographic subgroups in rigorous courses and programs relative to those students’ representation in their school population as a whole, including opportunities, such as the following: 
•        Gifted and talented programs
•        Algebra I in middle school
•        Higher-level math courses in high school (that is, Algebra II, calculus)
•        Early college courses (AP, IB, and dual enrollment)",Gifted and talented participation,Found,"GeneralStudentProgramAssociation.Program.ProgramType = 'Gifted and Talented', GeneralStudentProgramAssociation.StudentUSI",Found,FactK12ProgramParticipations.DimK12ProgramTypeId,FactK12ProgramParticipations.DimK12ProgramTypeId,,,,,,"SELECT  
    'Number of Students participating GiftedandTalented' AS DataElementName,
    'RecordCount' AS CharacteristicType,  
    COUNT(1) AS Value,
    NULL AS Remarks
FROM rds.FactK12ProgramParticipations p
JOIN rds.FactK12StudentCourseSections f  ON f.K12StudentId = p.K12StudentId and f.SchoolYearId = p.SchoolYearId 
JOIN RDS.DimGradeLevels g ON f.EntryGradeLevelId = g.DimGradeLevelId
JOIN RDS.DimK12ProgramTypes pt on pt.DimK12ProgramTypeId = p.K12ProgramTypeId
where   g.GradeLevelCode in ('06', '07', '08', '09', '10', '11', '12', '13', 'UG')
and pt.ProgramTypeCode = '04930'","SELECT  
    'Number of Students participating GiftedandTalented' AS DataElementName,
    'RecordCount' AS CharacteristicType,  
    COUNT(1) AS Value,
    NULL AS Remarks
FROM rds.FactK12ProgramParticipations p
JOIN rds.FactK12StudentCourseSections f  ON f.K12StudentId = p.K12StudentId and f.SchoolYearId = p.SchoolYearId 
JOIN RDS.DimGradeLevels g ON f.EntryGradeLevelId = g.DimGradeLevelId
JOIN RDS.DimK12ProgramTypes pt on pt.DimK12ProgramTypeId = p.K12ProgramTypeId
where   g.GradeLevelCode in ('06', '07', '08', '09', '10', '11', '12', '13', 'UG')
and pt.ProgramTypeCode = '04930'",,,,,,,
12. Do students have access to and complete rigorous and accelerated college preparatory coursework?,Academic Progress & Completion,E-W System Conditions,K12,Equitable placement in rigorous coursework,"Differences in the participation rates for students from key demographic subgroups in rigorous courses and programs relative to those students’ representation in their school population as a whole, including opportunities, such as the following: 
•	Gifted and talented programs
•	Algebra I in middle school
•	Higher-level math courses in high school (that is, Algebra II, calculus)
•	Early college courses (AP, IB, and dual enrollment)",Algebra 1 enrollment,Found,"StudentSectionAssociation.Section.CourseOffering.Course.CourseTitle, StudentSectionAssociation.StudentUSI",Found,FactK12StudentCourseSections.K12StudentId,FactK12StudentCourseSections.K12StudentId,,,,,,"SELECT  
    'Number of Students who took Algebra I in middle school' AS DataElementName,
    'RecordCount' AS CharacteristicType,  
    COUNT(f.K12StudentId) AS Value,
    NULL AS Remarks
FROM rds.FactK12StudentCourseSections f 
JOIN RDS.DimK12Schools sc on f.K12SchoolId = sc.DimK12SchoolId 
JOIN RDS.DimGradeLevels g ON f.EntryGradeLevelId = g.DimGradeLevelId
JOIN RDS.DimScedCodes s ON f.ScedCodeId = s.DimScedCodeId
where  f.K12CourseId is not NULL
and g.GradeLevelCode in ('06', '07', '08')
and s.ScedCourseCode in ('02052')
AND s.ScedCourseSubjectAreaCode in ('02')","SELECT  
    'Number of Students who took Algebra I in middle school' AS DataElementName,
    'RecordCount' AS CharacteristicType,  
    COUNT(f.K12StudentId) AS Value,
    NULL AS Remarks
FROM rds.FactK12StudentCourseSections f 
JOIN RDS.DimK12Schools sc on f.K12SchoolId = sc.DimK12SchoolId 
JOIN RDS.DimGradeLevels g ON f.EntryGradeLevelId = g.DimGradeLevelId
JOIN RDS.DimScedCodes s ON f.ScedCodeId = s.DimScedCodeId
where  f.K12CourseId is not NULL
and g.GradeLevelCode in ('06', '07', '08')
and s.ScedCourseCode in ('02052')
AND s.ScedCourseSubjectAreaCode in ('02')",,,,,,,
12. Do students have access to and complete rigorous and accelerated college preparatory coursework?,Academic Progress & Completion,E-W System Conditions,K12,Equitable placement in rigorous coursework,"Differences in the participation rates for students from key demographic subgroups in rigorous courses and programs relative to those students’ representation in their school population as a whole, including opportunities, such as the following: 
•	Gifted and talented programs
•	Algebra I in middle school
•	Higher-level math courses in high school (that is, Algebra II, calculus)
•	Early college courses (AP, IB, and dual enrollment)",Higher-level math enrollment,Found,"StudentSectionAssociation.Section.CourseOffering.Course.CourseTitle, StudentSectionAssociation.StudentUSI",Found,FactK12StudentCourseSections.K12StudentId,FactK12StudentCourseSections.K12StudentId,,,,,,"SELECT  
    'Number of Students who took Higher-level math in High School' AS DataElementName,
    'RecordCount' AS CharacteristicType,  
    COUNT(f.K12StudentId) AS Value,
    NULL AS Remarks
FROM rds.FactK12StudentCourseSections f 
JOIN RDS.DimK12Schools sc on f.K12SchoolId = sc.DimK12SchoolId 
JOIN RDS.DimGradeLevels g ON f.EntryGradeLevelId = g.DimGradeLevelId
JOIN RDS.DimScedCodes s ON f.ScedCodeId = s.DimScedCodeId
where  f.K12CourseId is not NULL
and g.GradeLevelCode in ('09', '10', '11', '12')
and s.ScedCourseCode in ('02056','02121')
AND s.ScedCourseSubjectAreaCode in ('02')
--CourseSectionEnrollmentStatusType='Completed' --missing in CEDS DWH","SELECT  
    'Number of Students who took Higher-level math in High School' AS DataElementName,
    'RecordCount' AS CharacteristicType,  
    COUNT(f.K12StudentId) AS Value,
    NULL AS Remarks
FROM rds.FactK12StudentCourseSections f 
JOIN RDS.DimK12Schools sc on f.K12SchoolId = sc.DimK12SchoolId 
JOIN RDS.DimGradeLevels g ON f.EntryGradeLevelId = g.DimGradeLevelId
JOIN RDS.DimScedCodes s ON f.ScedCodeId = s.DimScedCodeId
where  f.K12CourseId is not NULL
and g.GradeLevelCode in ('09', '10', '11', '12')
and s.ScedCourseCode in ('02056','02121')
AND s.ScedCourseSubjectAreaCode in ('02')
--CourseSectionEnrollmentStatusType='Completed' --missing in CEDS DWH",,,,,,,
